馬季,賽事編號,名次,馬號,馬名,騎師,練馬師,實際負磅,排位檔位,獨贏賠率,距離,場地,horse_surface_win_rate,horse_dist_win_rate
26/27,20260913-07,,13,天比高,122,田泰安,122,3,7.2,1400,草地,0.08,0.08
26/27,20260913-07,,14,種得好,119,楊明綸,119,4,48,1400,草地,0.08,0.08
26/27,20260913-08,,1,實力股,135,巴度,135,14,1.8,1000,草地,0.08,0.08
26/27,20260913-08,,2,會長之寶,134,袁幸堯 (-10),134,6,15,1000,草地,0.08,0.08
26/27,20260913-08,,3,皇龍飛將,133,蔡明紹,133,6,35,1000,草地,0.08,0.08
26/27,20260913-08,,4,團結勇士,133,梁家俊,133,13,14,1000,草地,0.08,0.08
26/27,20260913-08,,5,家樂龍駒,132,黃寶妮 (-7),132,2,35,1000,草地,0.08,0.08
26/27,20260913-08,,6,精彩福星,127,希威森,127,9,19,1000,草地,0.08,0.08
26/27,20260913-08,,7,超力量,126,艾道拿,126,3,48,1000,草地,0.08,0.08
26/27,20260913-08,,8,米奇,125,艾兆禮,125,5,8.2,1000,草地,0.08,0.08
26/27,20260913-08,,9,大愛無疆,124,奧爾民,124,12,26,1000,草地,0.08,0.08
26/27,20260913-08,,10,星運傳奇,123,黃智弘 (-3),127,5,17,1000,草地,0.08,0.08
26/27,20260913-08,,11,從化之星,122,霍宏聲,122,4,29,1000,草地,0.08,0.08
26/27,20260913-08,,12,無敵好瑪,122,何澤堯,122,1,25,1000,草地,0.08,0.08
26/27,20260913-08,,13,幸運糖,121,田泰安,121,4,9.5,1000,草地,0.08,0.08
26/27,20260913-08,,14,長勝金剛,118,金誠剛,118,5,53,1000,草地,0.08,0.08
26/27,20260913-09,,1,超寫意,135,周俊樂 (-2),135,6,13,1200,草地,0.08,0.08
26/27,20260913-09,,2,錶之極光,134,奧爾民,134,12,39,1200,草地,0.08,0.08
26/27,20260913-09,,3,三軍勇將,132,梁家俊,132,10,52,1200,草地,0.08,0.08
26/27,20260913-09,,4,一世美麗,129,艾兆禮,129,6,30,1200,草地,0.08,0.08
26/27,20260913-09,,5,鑽石星空,128,袁幸堯 (-10),128,6,1.4,1200,草地,0.08,0.08
26/27,20260913-09,,6,星月飛雲,127,希威森,127,8,31,1200,草地,0.08,0.08
26/27,20260913-09,,7,一馬當先,127,艾道拿,127,5,64,1200,草地,0.08,0.08
26/27,20260913-09,,8,傑出雷霆,127,何澤堯,127,4,11,1200,草地,0.08,0.08
26/27,20260913-09,,9,耀寶,125,巴度,125,6,21,1200,草地,0.08,0.08
26/27,20260913-09,,10,膨才,124,班德禮,124,11,56,1200,草地,0.08,0.08
26/27,20260913-09,,11,咕嚕快跑,121,田泰安,121,6,31,1200,草地,0.08,0.08
26/27,20260913-09,,12,爆發,121,潘頓,121,14,13,1200,草地,0.08,0.08
26/27,20260913-09,,13,正極,120,黃智弘 (-3),120,3,42,1200,草地,0.08,0.08
26/27,20260913-09,,14,龍文瑞安,117,楊明綸,117,13,110,1200,草地,0.08,0.08
26/27,20260913-10,,1,金牌活力,135,田泰安,135,3,17,1400,草地,0.08,0.08
26/27,20260913-10,,2,友瑩亮,129,艾兆禮,129,6,17,1400,草地,0.08,0.08
26/27,20260913-10,,3,馭跑得,128,蔡明紹,128,8,23,1400,草地,0.08,0.08
26/27,20260913-10,,4,細水長流,127,艾道拿,127,5,8.6,1400,草地,0.08,0.08
26/27,20260913-10,,5,潮州精神,126,巴度,126,12,12,1400,草地,0.08,0.08
26/27,20260913-10,,6,自動自覺,126,袁幸堯 (-10),126,5,15,1400,草地,0.08,0.08
26/27,20260913-10,,7,百勝威龍,123,黃寶妮 (-7),123,14,16,1400,草地,0.08,0.08
26/27,20260913-10,,8,仁仁有餘,123,霍宏聲,123,11,24,1400,草地,0.08,0.08
26/27,20260913-10,,9,金錢遊戲,123,奧爾民,123,13,14,1400,草地,0.08,0.08
26/27,20260913-10,,10,金勝名駒,123,周俊樂 (-2),123,6,10,1400,草地,0.08,0.08
26/27,20260913-10,,11,大回報,122,希威森,122,9,25,1400,草地,0.08,0.08
26/27,20260913-10,,12,嵐臣,121,潘頓,121,1,2.5,1400,草地,0.08,0.08
26/27,20260913-10,,13,金?千帥,121,潘明輝,121,6,29,1400,草地,0.08,0.08
26/27,20260913-10,,14,逍遙騎士,120,梁家俊,120,2,17,1400,草地,0.08,0.08
